postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
1054,OSLO,0301,175471.856350018,0,0,0,0
1055,OSLO,0301,253222.750350108,0,0,0,0
1056,OSLO,0301,257137.909500127,0,0,0,0
1061,OSLO,0301,9658096.2466494,0,0,0,0
1062,OSLO,0301,224900.715799959,0,0,0,0
1063,OSLO,0301,79813.6555500468,0,0,0,0
1063,OSLO,0301,45683.5510499515,0,0,0,0
1064,OSLO,0301,168461.428050034,0,0,0,0
1065,OSLO,0301,211747.738300018,0,0,0,0
1067,OSLO,0301,402262.6274499,0,0,0,0
1068,OSLO,0301,364399.212100118,0,0,0,0
1069,OSLO,0301,206836.167149954,0,0,0,0
1071,OSLO,0301,95188.0000000224,0,0,0,0
1081,OSLO,0301,1863883.94954988,0,0,0,0
1083,OSLO,0301,376639.321850131,0,0,0,0
1084,OSLO,0301,386283.595900059,0,0,0,0
1086,OSLO,0301,842039.201399878,0,0,0,0
1087,OSLO,0301,378476.357750031,0,0,0,0
1088,OSLO,0301,484821.066750063,0,0,0,0
1089,OSLO,0301,164536.853099935,0,0,0,0
1150,OSLO,0301,166963.083599994,0,0,0,0
1151,OSLO,0301,108901.647300014,0,0,0,0
1152,OSLO,0301,442984.460850071,0,0,0,0
1153,OSLO,0301,307691.284750149,0,0,0,0
1154,OSLO,0301,373291.62204998,0,0,0,0
1155,OSLO,0301,230899.953649934,0,0,0,0
1156,OSLO,0301,331637.248299994,0,0,0,0
1157,OSLO,0301,186599.197250057,0,0,0,0
1158,OSLO,0301,164569.92330014,0,0,0,0
1160,OSLO,0301,160114.392549972,0,0,0,0
1160,OSLO,0301,17609.9905000087,0,0,0,0
1161,OSLO,0301,114267.418599888,0,0,0,0
1162,OSLO,0301,508643.151350137,0,0,0,0
1163,OSLO,0301,63093.1837999355,0,0,0,0
1163,OSLO,0301,566119.571250197,0,0,0,0
1164,OSLO,0301,919816.19674997,0,0,0,0
1165,OSLO,0301,27177.7407499864,0,0,0,0
1165,OSLO,0301,796788.942149968,0,0,0,0
1165,OSLO,0301,17905.8979000058,0,0,0,0
1166,OSLO,0301,727864.841199991,0,0,0,0
1167,OSLO,0301,393127.921350125,0,0,0,0
1168,OSLO,0301,674393.506199955,0,0,0,0
1169,OSLO,0301,289490.998250011,0,0,0,0
1169,OSLO,0301,4481487.56420004,0,0,0,0
1170,OSLO,0301,428905.851700094,0,0,0,0
1172,OSLO,0301,58108.9767499976,0,0,0,0
1176,OSLO,0301,477562.787600005,0,0,0,0
1177,OSLO,0301,1127327.63579994,0,0,0,0
1178,OSLO,0301,872489.20029994,0,0,0,0
1179,OSLO,0301,510988.7435998,0,0,0,0
1181,OSLO,0301,1376430.26660016,0,0,0,0
1182,OSLO,0301,890094.364200055,0,0,0,0
1184,OSLO,0301,275806.345849911,0,0,0,0
1185,OSLO,0301,581695.733550099,0,0,0,0
1187,OSLO,0301,1348855.40484997,0,0,0,0
1188,OSLO,0301,595489.003400147,0,0,0,0
1189,OSLO,0301,42009.1755001061,0,0,0,0
1250,OSLO,0301,2553170.04199994,0,0,0,0
1251,OSLO,0301,730829.602650523,0,0,0,0
1252,OSLO,0301,419077.834899798,0,0,0,0
1253,OSLO,0301,252160.551150099,0,0,0,0
1254,OSLO,0301,386797.335399848,0,0,0,0
1255,OSLO,0301,73213.1845500036,0,0,0,0
1256,OSLO,0301,239188.906200089,0,0,0,0
1257,OSLO,0301,268485.147500008,0,0,0,0
1258,OSLO,0301,274816.056249954,0,0,0,0
1259,OSLO,0301,275387.748000056,0,0,0,0
1262,OSLO,0301,416288.381100116,0,0,0,0
1263,OSLO,0301,2571414.00129989,0,0,0,0
1266,OSLO,0301,1397910.71885,0,0,0,0
1270,OSLO,0301,308062.038999961,0,0,0,0
1271,OSLO,0301,163888.880749896,0,0,0,0
